schoolid,schoolname,calendaryear,academicyear,condscholind,numenteringcondschol,numeliminatedcondschol,numstudents,ftnumstudents,ptnumstudents,totalrecvgrant,totalrecvgrantp,ftrecvgrant,ptrecvgrant,totalgrantlthalf,totalgrantlthalfp,ftgrantlthalf,ptgrantlthalf,totalgrantalhalf,totalgrantalhalfp,ftgrantalhalf,ptgrantalhalf,totalgrantfull,totalgrantfullp,ftgrantfull,ptgrantfull,totalgrantgtfull,totalgrantgtfullp,ftgrantgtfull,ptgrantgtfull,ftgrantamt75,ptgrantamt75,ftgrantamtmedian,ptgrantamtmedian,ftgrantamt25,ptgrantamt25
100300,Faulkner University,2015,2014,Y,55,9,283,273,10,215,76,215,0,131,46.3,131,0,73,25.8,73,0,11,3.9,11,0,0,0,0,0,17000,0,11220,0,6800,0
100300,Faulkner University,2016,2015,Y,42,2,259,259,0,207,79.9,207,,118,45.6,118,0,79,30.5,79,,10,3.9,10,,0,0,0,,22100,,11220,,6800,
100300,Faulkner University,2017,2016,Y,66,14,248,245,3,190,76.6,190,0,114,46,114,0,59,23.8,59,0,17,6.9,17,0,0,0,0,0,24420,0,12210,0,7400,0
100300,Faulkner University,2018,2017,Y,57,21,224,224,0,170,75.9,170,0,86,38.4,86,0,62,27.7,62,0,22,9.8,22,0,0,0,0,0,26600,0,13000,0,7600,0
100300,Faulkner University,2019,2018,Y,56,4,185,185,0,153,82.7,153,,66,35.7,66,,70,37.8,70,,17,9.2,17,,0,0,0,,31200,,19500,,11700,
103600,Samford University,2015,2014,Y,82,12,426,401,25,212,49.8,209,3,167,39.2,164,3,29,6.8,29,0,15,3.5,15,0,1,0.2,1,0,18117,1500,15000,3395,10000,0
103600,Samford University,2016,2015,Y,140,7,449,424,25,297,66.1,294,3,231,51.4,228,3,51,11.4,51,0,10,2.2,10,0,5,1.1,5,0,18298,12500,13500,10000,8000,7000
103600,Samford University,2017,2016,Y,138,11,434,408,26,348,80.2,346,2,245,56.5,243,2,84,19.4,84,0,15,3.5,15,0,4,0.9,4,0,21600,0,13900,0,9300,0
103600,Samford University,2018,2017,Y,138,19,427,427,0,378,88.5,378,0,277,64.9,277,0,87,20.4,87,0,1,0.2,1,0,13,3,13,0,19224,0,13500,0,9300,0
103600,Samford University,2019,2018,Y,137,19,422,422,0,371,87.9,371,,268,63.5,268,,100,23.7,100,,0,0,0,,3,0.7,3,,21500,,14200,,9300,
105100,University of Alabama,2015,2014,Y,102,27,420,420,0,329,78.3,329,,161,38.3,161,,124,29.5,124,,0,0,0,,44,10.5,44,,26320,,15000,,6000,
105100,University of Alabama,2016,2015,N,,,431,431,0,342,79.4,342,,152,35.3,152,0,138,32,138,,3,0.7,3,,49,11.4,49,,25000,,15100,,6250,
105100,University of Alabama,2017,2016,N,,,409,408,1,305,74.6,305,0,111,27.1,111,0,126,30.8,126,0,7,1.7,7,0,61,14.9,61,0,29880,0,20000,0,7300,0
105100,University of Alabama,2018,2017,N,,,406,406,0,281,69.2,281,0,87,21.4,87,0,116,28.6,116,0,12,3,12,0,66,16.3,66,0,30410,0,21000,0,10000,0
105100,University of Alabama,2019,2018,N,,,381,381,0,292,76.6,292,,83,21.8,83,,137,36,137,,7,1.8,7,,65,17.1,65,,30000,,22100,,12000,
108100,Arizona State University,2015,2014,N,,,576,576,0,320,55.6,320,,132,22.9,132,,152,26.4,152,,18,3.1,18,,18,3.1,18,,27504,,20000,,9773,
108100,Arizona State University,2016,2015,N,,,623,623,0,363,58.3,363,,121,19.4,121,,196,31.5,196,,32,5.1,32,,14,2.2,14,,27824,,25000,,15000,
108100,Arizona State University,2017,2016,N,,,718,718,0,430,59.9,430,,131,18.2,131,,223,31.1,223,,50,7,50,,26,3.6,26,,27226,,20000,,15000,
108100,Arizona State University,2018,2017,N,,,788,788,,507,64.3,507,,221,28,221,,195,24.7,195,,70,8.9,70,,21,2.7,21,,27388,,20000,,10000,
108100,Arizona State University,2019,2018,N,,,819,819,0,623,76.1,623,,416,50.8,416,,126,15.4,126,,57,7,57,,24,2.9,24,,27388,,15000,,6668,
108300,University of Arizona,2015,2014,N,,,379,379,0,273,72,273,,113,29.8,113,,78,20.6,78,,56,14.8,56,,26,6.9,26,,25219,,14225,,7152,
108300,University of Arizona,2016,2015,N,,,361,359,2,284,78.7,284,0,100,27.7,100,0,89,24.7,89,0,55,15.2,55,0,40,11.1,40,0,28820,0,19750,0,9000,0
108300,University of Arizona,2017,2016,N,,,368,364,4,336,91.3,336,0,134,36.4,134,0,63,17.1,63,0,85,23.1,85,0,54,14.7,54,0,30025,0,20525,0,5000,0
108300,University of Arizona,2018,2017,N,,,336,336,0,282,83.9,282,0,98,29.2,98,0,75,22.3,75,0,57,17,57,0,52,15.5,52,0,29839,0,24757,0,7625,0
108300,University of Arizona,2019,2018,N,,,341,341,0,300,88,300,,93,27.3,93,,134,39.3,134,,31,9.1,31,,42,12.3,42,,29000,,24500,,12250,
110101,University of Arkansas-Little Rock,2015,2014,Y,65,16,424,306,118,253,59.7,195,58,165,38.9,119,46,55,13,48,7,23,5.4,18,5,10,2.4,10,0,12431,5941,6015,2750,3008,2000
110101,University of Arkansas-Little Rock,2016,2015,Y,65,16,399,287,112,258,64.7,207,51,147,36.8,114,33,84,21.1,69,15,16,4,13,3,11,2.8,11,0,12888,7827,6400,3781,2678,2000
110101,University of Arkansas-Little Rock,2017,2016,Y,97,34,394,293,101,279,70.8,225,54,138,35,112,26,79,20.1,62,17,58,14.7,47,11,4,1,4,0,13010,8673,7788,4770,3252,2000
110101,University of Arkansas-Little Rock,2018,2017,Y,90,27,392,285,107,280,71.4,219,61,105,26.8,81,24,127,32.4,96,31,40,10.2,34,6,8,2,8,0,13352,8901,10014,5341,3338,2225
110101,University of Arkansas-Little Rock,2019,2018,Y,99,34,431,330,101,294,68.2,221,73,109,25.3,79,30,140,32.5,108,32,38,8.8,27,11,7,1.6,7,0,13352,9791,10014,6676,3338,2225
110800,University of Arkansas-Fayetteville,2015,2014,Y,12,4,361,361,0,162,44.9,162,,96,26.6,96,,57,15.8,57,,4,1.1,4,,5,1.4,5,,10147,,8000,,1700,
110800,University of Arkansas-Fayetteville,2016,2015,Y,56,36,350,350,0,151,43.1,151,,84,24,84,0,62,17.7,62,,0,0,0,,5,1.4,5,,10550,,8000,,4000,
110800,University of Arkansas-Fayetteville,2017,2016,Y,65,36,352,352,0,182,51.7,182,,96,27.3,96,,81,23,81,,0,0,0,,5,1.4,5,,11500,,8000,,2050,
110800,University of Arkansas-Fayetteville,2018,2017,Y,53,27,336,336,,161,47.9,161,,78,23.2,78,,74,22,74,,0,0,0,,10,3,10,,12433,,9000,,5000,
110800,University of Arkansas-Fayetteville,2019,2018,Y,54,29,342,342,0,170,49.7,169,,99,28.9,98,,60,17.5,60,,0,0,0,,11,3.2,11,,12320,,8000,,2000,
116453,Chapman University,2015,2014,Y,112,39,473,444,29,274,57.9,255,19,100,21.1,88,12,84,17.8,82,2,71,15,69,2,19,4,16,3,46300,29472,37040,5000,18520,3684
116453,Chapman University,2016,2015,Y,106,54,467,436,31,265,56.7,252,13,56,12,55,1,101,21.6,92,9,73,15.6,71,2,35,7.5,34,1,48150,38220,38520,34560,24075,22132
116453,Chapman University,2017,2016,Y,109,50,479,453,26,274,57.2,257,17,67,14,63,4,88,18.4,81,7,83,17.3,79,4,36,7.5,34,2,50076,35964,40061,31968,25038,20030
116453,Chapman University,2018,2017,Y,116,50,491,491,0,285,58,277,8,96,19.6,93,3,162,33,158,4,0,0,0,0,27,5.5,26,1,51578,41732,41262,41160,20631,16464
116453,Chapman University,2019,2018,Y,118,57,491,491,0,277,56.4,269,,76,15.5,72,,194,39.5,190,,0,0,0,,7,1.4,7,,53124,,47742,,23100,
120529,Golden Gate University,2015,2014,Y,97,59,449,301,148,264,58.8,217,47,147,32.7,124,23,92,20.5,74,18,25,5.6,19,6,0,0,0,0,30000,23000,20000,15572,8000,9500
120529,Golden Gate University,2016,2015,Y,106,61,348,254,94,212,60.9,163,49,114,32.8,91,23,66,19,53,13,32,9.2,19,13,0,0,0,0,30000,25000,20000,18000,10000,10000
120529,Golden Gate University,2017,2016,Y,87,50,355,261,94,242,68.2,183,59,104,29.3,77,27,74,20.8,60,14,62,17.5,44,18,2,0.6,2,0,41000,35200,27015,20000,10000,8000
120529,Golden Gate University,2018,2017,Y,124,60,414,315,99,302,72.9,259,43,121,29.2,112,9,124,30,104,20,15,3.6,9,6,42,10.1,34,8,40100,35200,30000,28800,10000,20000
120529,Golden Gate University,2019,2018,Y,108,66,533,432,101,398,74.7,351,47,135,25.3,126,9,131,24.6,107,24,45,8.4,33,12,87,16.3,85,2,49500,36300,34500,30000,15000,20000
