"","season_name","season","full_name","castaway","age","city","state","personality_type","day","order","result","jury_status","original_tribe","merged_tribe","swapped_tribe","swapped_tribe2","total_votes_received","immunity_idols_won"
"1","Survivor: Winners at War",40,"Natalie Anderson","Natalie",33,"Edgewater","New Jersey","ESTP",2,1,"1st voted out",NA,"Sele",NA,NA,NA,11,1
"2","Survivor: Winners at War",40,"Amber Mariano","Amber",40,"Pensacola","Florida","ISFP",3,2,"2nd voted out","1st jury member","Dakal",NA,NA,NA,6,0
"3","Survivor: Winners at War",40,"Danni Boatwright","Danni",43,"Shawnee","Kansas","ENFJ",6,3,"3rd voted out","2nd jury member","Sele",NA,NA,NA,8,0
"4","Survivor: Winners at War",40,"Ethan Zohn","Ethan",45,"Hillsborough","New Hampshire","ISFP",9,4,"4th voted out","3rd jury member","Sele",NA,NA,NA,4,0
"5","Survivor: Winners at War",40,"Tyson Apostol","Tyson",39,"Mesa","Arizona","ESTP",11,5,"5th voted out",NA,"Dakal",NA,NA,NA,12,0
"6","Survivor: Winners at War",40,"Rob Mariano","Rob",43,"Pensacola","Florida","ESTJ",14,6,"6th voted out","4th jury member","Sele",NA,"Yara",NA,4,0
"7","Survivor: Winners at War",40,"Parvati Shallow","Parvati",36,"Los Angeles","California","ENFJ",16,7,"7th voted out","5th jury member","Sele",NA,"Sele",NA,8,0
"8","Survivor: Winners at War",40,"Sandra Diaz-Twine","Sandra",44,"Riverview","Florida","ESTP",16,8,"8th voted out",NA,"Dakal",NA,"Dakal",NA,2,0
"9","Survivor: Winners at War",40,"Yul Kwon","Yul",44,"Los Altos","California","INTJ",18,9,"9th voted out","6th jury member","Dakal",NA,"Sele",NA,3,0
"10","Survivor: Winners at War",40,"Wendell Holland","Wendell",35,"Philadelphia","Pennsylvania","INFJ",21,10,"10th voted out","7th jury member","Dakal","Koru","Sele",NA,14,0
"11","Survivor: Winners at War",40,"Adam Klein","Adam",28,"Los Angeles","California","ENTP",23,11,"11th voted out","8th jury member","Sele","Koru","Yara",NA,15,0
"12","Survivor: Winners at War",40,"Tyson Apostol","Tyson",39,"Mesa","Arizona","ESTP",25,12,"12th voted out","9th jury member","Dakal","Koru",NA,NA,12,0
"13","Survivor: Winners at War",40,"Sophie Clarke","Sophie",29,"Santa Monica","California","INTJ",28,13,"13th voted out","10th jury member","Dakal","Koru","Yara",NA,6,0
"14","Survivor: Winners at War",40,"Kim Spradlin-Wolfe","Kim",36,"San Antonio","Texas","INFJ",29,14,"14th voted out","11th jury member","Dakal","Koru","Dakal",NA,9,1
"15","Survivor: Winners at War",40,"Jeremy Collins","Jeremy",41,"Foxboro","Massachusetts","ESTJ",31,15,"15th voted out","12th jury member","Sele","Koru","Dakal",NA,9,1
"16","Survivor: Winners at War",40,"Nick Wilson","Nick",28,"Williamsburg","Kentucky","ENTP",34,16,"16th voted out","13th jury member","Dakal","Koru","Sele",NA,8,1
"17","Survivor: Winners at War",40,"Denise Stapley","Denise",48,"Marion","Iowa","INFJ",36,17,"17th voted out","14th jury member","Sele","Koru","Dakal",NA,18,2
